repo_id,repo_name,industry_code,industry_name,confidence,reasoning
790866018,70kseguidores,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
784326698,abecedariodinamico,J,Information and communication,high,"The repository is related to software development, as indicated by the use of JavaScript and the author's interest in programming and software analysis."
725314123,ActivityRegister.XML,J,Information and communication,high,"The repository is related to Android development, which falls under the software development sector within the information and communication industry."
911810452,arbolnavidad2025,J,Information and communication,high,"The repository involves web development using HTML, which falls under the information and communication sector."
755726035,arcoiris,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
763098910,birdslove,J,Information and communication,high,"The repository is related to software development and programming, which falls under the information and communication industry."
763097303,botonencenderapagar,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key aspect of the information and communication industry."
752278327,botonenviar,J,Information and communication,high,"The repository is related to software development, which falls under the information and communication industry."
754685871,buttoncheckosito,J,Information and communication,high,"The repository is related to software development, indicated by the use of JavaScript and the author's interest in programming and systems analysis."
911810297,buttonemogi,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key area within the information and communication industry."
777336719,carousel3d,J,Information and communication,high,"The repository is written in JavaScript, which is commonly used for web development, indicating a focus on information technology and communication."
737103525,cartaestilos,J,Information and communication,medium,"The repository involves HTML and mentions software development, which aligns with the information and communication industry."
800545065,cartaparamamadiadelamadre,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
755724483,cartaprogramadores,J,Information and communication,high,"The repository is related to programming and software development, which falls under the Information and communication industry."
780681394,catslove,J,Information and communication,high,"The repository is related to web development, indicated by the use of HTML and the author's interest in software development and programming languages."
748294518,corasoncitosanimadosflotantes,J,Information and communication,medium,"The repository involves web development with CSS, which is related to the information and communication sector."
780680388,corazonanimado,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key aspect of the information and communication industry."
767140641,corazonconbolitas,J,Information and communication,medium,"The repository is related to software development and programming, which falls under the information and communication industry."
790863470,corazonlatente,J,Information and communication,high,"The repository is related to software development and programming, which falls under the information and communication industry."
748861653,crudusuariosxml,J,Information and communication,medium,"The repository is related to software development and programming, which falls under the information and communication industry."
784325842,cuerpospinslove,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
780681085,cumpleanosdedicar,J,Information and communication,high,"The repository is focused on software development, indicated by the use of JavaScript and the author's interest in programming and collaboration on software projects."
768715910,diadelamujer,J,Information and communication,high,"The repository involves software development, indicated by the use of JavaScript and the author's interest in programming and collaboration on projects, which aligns with the Information and communication industry."
780680766,dinosaurioslove,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
800542881,emoticonlove,J,Information and communication,high,"The repository is related to software development, indicated by the use of JavaScript and the author's interest in programming and collaboration on projects."
784327175,erescomoelcafe,J,Information and communication,high,"The repository is related to software development and programming, which falls under the information and communication industry."
743162018,error404,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key area within the information and communication industry."
877613608,espiralcorazones,J,Information and communication,high,"The repository is focused on software development and programming, which falls under the information and communication industry."
800544599,estacionesdiadelamadre,J,Information and communication,high,"The repository is focused on software development and programming, which falls under the Information and communication industry."
877612964,expander-notidicaciones,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key aspect of the information and communication industry."
753681503,fantasmaslove,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
735318451,felizcumplecajita,J,Information and communication,medium,"The repository is written in JavaScript, which is commonly used for web development and software applications, placing it in the information and communication industry."
731226799,feliznavidad,J,Information and communication,medium,"The repository is related to web development (HTML) and the individual expresses an interest in software development, which aligns with the information and communication industry."
731256044,feliznavidad2,J,Information and communication,high,"The repository involves programming in JavaScript and is related to software development, which falls under the information and communication industry."
721326350,Flores-azules,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key aspect of the information and communication industry."
755725134,floresamarillasycorazones,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
810904762,frase-para-dedicar,J,Information and communication,medium,"The repository involves programming and software development, which falls under the information and communication industry."
800545510,frasesdiadelamadre,J,Information and communication,medium,"The repository involves web development with CSS, which is part of the information technology sector."
877612280,futurescroll,J,Information and communication,high,"The repository is related to software development and programming, which falls under the information and communication industry."
763099980,galeriadefotos,J,Information and communication,medium,"The repository is related to web development, indicated by the use of CSS, and the owner's interest in software development suggests a focus on the tech industry."
877613908,generador-burbujas,J,Information and communication,high,"The repository involves programming and software development, which falls under the information and communication industry."
733659653,happybirthday,J,Information and communication,medium,"The repository is related to software development, which falls under the information and communication industry, despite the lack of specific details in the description."
810902897,happybirthday-papel-picado,J,Information and communication,high,"The repository involves JavaScript, which is commonly used in software development and web applications, indicating a focus on information technology."
790866709,happybirthdayboladenieve,J,Information and communication,medium,"The repository is related to software development and programming, which falls under the information and communication industry."
729686690,happynewyear,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
784326241,hipnosis,J,Information and communication,high,"The repository involves software development, which falls under the information and communication industry."
810903418,icono-galeria-iphone,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key aspect of the information and communication industry."
767139642,iconomeencanta,J,Information and communication,high,"The repository is focused on web development, indicated by the use of CSS and the author's interest in software development and programming."
911809900,iloveuilive,J,Information and communication,medium,"The repository is related to web development, indicated by the use of CSS and the author's interest in software development and programming languages."
739130198,iloveyou,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
746748883,iluminaciontexto,J,Information and communication,high,"The repository involves CSS, which is commonly used in web development, indicating a focus on software development and communication technologies."
752279512,lamparadianoche,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
767137761,lamparapuertaosito,J,Information and communication,high,"The repository is focused on software development and programming, which falls under the information and communication industry."
800540867,letracancionbeautifullthings,J,Information and communication,high,"The repository is focused on software development, indicated by the use of JavaScript and the author's interest in programming and collaboration on software projects."
746003236,listviewxlm,J,Information and communication,medium,"The repository appears to be related to software development, as indicated by the owner's background in programming and interest in software development and systems analysis."
767140187,login_signup,J,Information and communication,high,"The repository is related to software development, which falls under the information and communication industry."
842735970,loveitheart,J,Information and communication,high,"The repository is related to web development, indicated by the use of CSS and the focus on software development and programming skills."
725207029,mabelolivera10,J,Information and communication,high,"The repository is related to GitHub profile configuration, which is associated with software development and programming, falling under the information and communication industry."
790864827,mensajecorazon,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
753680841,menucolorido,J,Information and communication,high,"The repository is related to web development, specifically using CSS, which falls under the information and communication industry."
777336322,menunavegacion,J,Information and communication,high,"The repository involves CSS, which is a technology used in web development, a key component of the information and communication industry."
755724928,musicaradio,R,"Arts, entertainment and recreation",medium,"The repository appears to be related to music, which falls under the arts and entertainment sector, despite the lack of specific details in the description."
911808527,navidad2025,J,Information and communication,high,"The repository involves web development using HTML and includes a personal introduction related to software development, indicating a focus on information technology."
735306269,navidad_cuanto_falta,J,Information and communication,medium,"The repository involves programming and software development, which falls under the Information and communication industry."
777335917,nombreanimado,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
842734661,nombrerojoamor,J,Information and communication,medium,"The repository involves CSS, which is commonly used in web development, a key area within the information and communication industry."
746746868,ositocolorido,J,Information and communication,high,"The repository is related to software development, indicated by the use of JavaScript and the interest in programming and system analysis."
746753100,pelotitascoloridas,J,Information and communication,high,"The repository is related to software development, indicated by the use of JavaScript and the author's interest in programming and software analysis."
842735432,peralove,J,Information and communication,medium,"The repository is related to web development, as indicated by the use of CSS, which falls under the information and communication industry."
800541713,pesceralive,J,Information and communication,medium,"The repository is related to web development, indicated by the use of CSS and the author's interest in software development, which falls under the information and communication industry."
800538603,planetasinformacion,J,Information and communication,medium,"The repository is related to web development and programming, which falls under the information and communication industry."
754675246,quieresserminovio,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
753678000,quieressermisanvalentin,J,Information and communication,high,"The repository is focused on software development and programming, which falls under the Information and communication industry."
748295011,recargacorazon,J,Information and communication,medium,"The repository is related to software development and programming, which falls under the information and communication industry."
784325249,recargawifi,J,Information and communication,medium,"The repository is related to software development and programming, which falls under the information and communication industry."
754677049,relojcodigoprogramdor,J,Information and communication,high,"The repository is related to programming and software development, which falls under the information and communication industry."
742194229,salvalentin,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
753120480,sanvalentinflorroja,J,Information and communication,medium,"The repository is related to web development, as indicated by the use of CSS and the author's interest in programming and software development."
877613195,semanas-gestacion,J,Information and communication,high,"The repository is related to software development and programming, which falls under the information and communication industry."
748295581,teamocarino,J,Information and communication,high,"The repository is related to software development and programming, which falls under the Information and communication industry."
